Date,ATO,A,FAST,CAH
2021-06-24,102.70802693158032,145.0432446240429,55.789995596228366,53.04375301224302
2021-06-25,102.70802693158032,145.0432446240429,55.789995596228366,53.04375301224302
2021-06-28,96.79750061035156,147.35800170898438,51.38532257080078,55.691585540771484
2021-06-29,94.50377655029297,148.23458862304688,51.50470733642578,55.83750534057617
2021-06-30,94.20970153808594,147.23846435546875,51.73352813720703,56.014896392822266
2021-07-01,95.0625,147.2185516357422,51.7932243347168,56.8488883972168
2021-07-02,95.1899185180664,148.43942260742188,52.33045196533203,56.79002380371094
2021-07-06,95.1605224609375,148.5989990234375,52.19116973876953,55.87753677368164
2021-07-07,96.01331329345703,149.1077117919922,53.4248161315918,55.94621658325195
2021-07-08,95.72904968261719,148.4493865966797,52.7284049987793,55.55374526977539
2021-07-09,96.58184051513672,149.6463165283203,53.5640983581543,56.10320281982422
2021-07-12,97.47386169433594,149.1276397705078,53.74317932128906,56.358306884765625
2021-07-13,96.84651947021484,148.8882598876953,52.8875846862793,56.02471160888672
2021-07-14,97.48365783691406,148.24990844726562,52.95722579956055,55.995277404785156
2021-07-15,98.82657623291016,148.5790557861328,53.25568771362305,55.700923919677734
2021-07-16,99.23826599121094,148.54913330078125,53.31538009643555,55.74998092651367
2021-07-19,96.99354553222656,147.2025909423828,53.2258415222168,54.965049743652344
2021-07-20,97.52286529541016,148.91818237304688,53.87251281738281,56.603599548339844
2021-07-21,96.30738067626953,148.56907653808594,53.96205139160156,57.4964599609375
2021-07-22,95.72904968261719,149.91563415527344,53.63373947143555,57.918365478515625
2021-07-23,97.48365783691406,151.9204864501953,54.36000061035156,58.085166931152344
2021-07-26,97.5522689819336,149.86575317382812,54.349998474121094,57.86930465698242
2021-07-27,99.10103607177734,149.56651306152344,54.38999938964844,58.30101776123047
2021-07-28,98.36585998535156,151.07266235351562,54.02000045776367,58.52669143676758
2021-07-29,98.20903015136719,152.27957153320312,54.849998474121094,58.860286712646484
2021-07-30,96.64065551757812,152.838134765625,54.77000045776367,58.261775970458984
2021-08-02,97.57188415527344,152.6785430908203,54.709999084472656,58.44819641113281
2021-08-03,97.7091064453125,153.46652221679688,55.93000030517578,58.50706481933594
2021-08-04,97.42484283447266,153.87547302246094,55.29999923706055,57.86930465698242
2021-08-05,99.306884765625,154.6435089111328,55.45000076293945,49.61768341064453
2021-08-06,98.89518737792969,155.30181884765625,55.2599983215332,50.0297737121582
2021-08-09,99.12064361572266,156.13966369628906,54.959999084472656,49.74523162841797
2021-08-10,98.89518737792969,156.11972045898438,54.869998931884766,50.04939651489258
2021-08-11,99.14024353027344,156.11972045898438,55.66999816894531,50.716590881347656
2021-08-12,98.5815200805664,157.74554443359375,55.31999969482422,51.099246978759766
2021-08-13,99.4637222290039,158.82278442382812,55.27000045776367,50.726402282714844
2021-08-16,99.0716323852539,161.65553283691406,55.619998931884766,51.442657470703125
2021-08-17,98.95398712158203,160.4984893798828,54.869998931884766,51.619266510009766
2021-08-18,97.03275299072266,162.6031036376953,54.209999084472656,50.559600830078125
2021-08-19,96.6896743774414,167.24119567871094,55.060001373291016,50.35355758666992
2021-08-20,97.43446350097656,167.70004272460938,55.470001220703125,50.422237396240234
2021-08-23,96.49730682373047,169.56524658203125,55.54999923706055,51.19736099243164
2021-08-24,96.79325866699219,170.13380432128906,55.099998474121094,50.795082092285156
2021-08-25,96.17176818847656,172.8568115234375,55.5099983215332,50.795082092285156
2021-08-26,95.39244842529297,173.1460723876953,55.56999969482422,50.33393096923828
2021-08-27,96.0632553100586,173.36550903320312,55.66999816894531,50.765647888183594
2021-08-30,96.15203857421875,176.2780303955078,56.130001068115234,50.539974212646484
2021-08-31,96.19149780273438,175.02127075195312,55.849998474121094,51.50152587890625
2021-09-01,96.92149353027344,175.0012969970703,55.459999084472656,51.41322326660156
2021-09-02,96.9708251953125,177.5647430419922,56.209999084472656,52.56118392944336
2021-09-03,96.181640625,178.82151794433594,55.88999938964844,52.62986755371094
2021-09-07,94.83016204833984,177.2655029296875,54.0099983215332,52.7083625793457
2021-09-08,96.3296127319336,178.27291870117188,53.880001068115234,52.48269271850586
2021-09-09,94.88935089111328,176.77674865722656,53.40999984741211,52.286460876464844
2021-09-10,91.86087036132812,176.77674865722656,53.58000183105469,51.82530975341797
2021-09-13,90.9335708618164,171.6399383544922,53.380001068115234,51.95286178588867
2021-09-14,90.04573822021484,171.9790496826172,53.040000915527344,51.1483039855957
2021-09-15,88.34899139404297,173.3455352783203,53.7599983215332,52.02154541015625
2021-09-16,88.54629516601562,172.83685302734375,53.5099983215332,51.737003326416016
2021-09-17,87.88534545898438,173.4951629638672,52.959999084472656,51.58001708984375
2021-09-20,87.92481231689453,170.9018096923828,52.900001525878906,50.579227447509766
2021-09-21,87.57954406738281,171.00157165527344,52.66999816894531,50.078834533691406
2021-09-22,87.5499496459961,171.99900817871094,53.22999954223633,50.04939651489258
2021-09-23,86.9383316040039,172.3281707763672,53.869998931884766,50.39280319213867
2021-09-24,87.02711486816406,171.9591064453125,54.099998474121094,50.22600555419922
2021-09-27,86.3957748413086,165.95449829101562,53.97999954223633,50.53016662597656
2021-09-28,85.51780700683594,159.49107360839844,52.66999816894531,50.20637893676758
2021-09-29,87.7077865600586,159.5908203125,52.81999969482422,50.618473052978516
2021-09-30,87.00738525390625,157.12713623046875,51.61000061035156,48.994693756103516
2021-10-01,87.57954406738281,155.59107971191406,51.68000030517578,49.539520263671875
2021-10-04,89.32561492919922,152.1595916748047,51.29999923706055,49.06403732299805
