Date,DD,SEDG,DHI
2021-06-28,75.80176544189453,284.6600036621094,88.67716979980469
2021-06-29,75.81159210205078,283.57000732421875,89.5978012084961
2021-06-30,76.08680725097656,276.3699951171875,89.4592056274414
2021-07-01,77.2564697265625,274.8800048828125,91.8746109008789
2021-07-02,77.44322204589844,276.2300109863281,91.42915344238281
2021-07-06,75.762451171875,274.7900085449219,89.9838638305664
2021-07-07,76.4209976196289,265.20001220703125,92.05281066894531
2021-07-08,75.31031036376953,261.1400146484375,88.19210815429688
2021-07-09,77.1385269165039,267.67999267578125,88.66728210449219
2021-07-12,78.06244659423828,268.6499938964844,88.13272094726562
2021-07-13,77.72825622558594,265.3699951171875,85.63811492919922
2021-07-14,78.15091705322266,245.4600067138672,85.8954849243164
2021-07-15,78.19022369384766,241.2100067138672,86.16277313232422
2021-07-16,74.90731048583984,236.55999755859375,85.43023681640625
2021-07-19,71.56543731689453,240.16000366210938,85.91529846191406
2021-07-20,72.4500503540039,245.75999450683594,88.16240692138672
2021-07-21,73.5902328491211,258.9599914550781,90.5481185913086
2021-07-22,73.1675796508789,257.3900146484375,88.736572265625
2021-07-23,72.95133209228516,248.6300048828125,92.60716247558594
2021-07-26,73.37398529052734,245.6199951171875,91.58753967285156
2021-07-27,72.73509216308594,240.0,92.2012939453125
2021-07-28,72.98081970214844,254.13999938964844,90.36994171142578
2021-07-29,74.10588073730469,261.1300048828125,94.54742431640625
2021-07-30,74.06640625,259.4800109863281,94.46821594238281
2021-08-02,73.6716537475586,257.7200012207031,95.51753234863281
2021-08-03,73.41504669189453,299.80999755859375,96.56685638427734
2021-08-04,73.2867660522461,292.7300109863281,94.88398742675781
2021-08-05,73.23741149902344,286.3900146484375,95.3690414428711
2021-08-06,75.07303619384766,295.2799987792969,93.74557495117188
2021-08-09,74.54998779296875,294.94000244140625,93.45789337158203
2021-08-10,76.21783447265625,296.3999938964844,94.94590759277344
2021-08-11,77.27381896972656,289.29998779296875,97.66403198242188
2021-08-12,76.97774505615234,291.1700134277344,96.60257720947266
2021-08-13,76.0698013305664,284.3699951171875,96.99938201904297
2021-08-16,75.71451568603516,277.80999755859375,97.62435150146484
2021-08-17,74.30326843261719,268.3500061035156,93.8249282836914
2021-08-18,72.94135284423828,266.2200012207031,92.69403839111328
2021-08-19,71.96431732177734,262.29998779296875,92.4956283569336
2021-08-20,71.89523315429688,269.8800048828125,94.14237976074219
2021-08-23,72.75383758544922,281.010009765625,93.87452697753906
2021-08-24,73.77033233642578,279.75,95.19390869140625
2021-08-25,74.04666137695312,281.44000244140625,96.38433837890625
2021-08-26,73.32623291015625,280.82000732421875,94.78719329833984
2021-08-27,74.16509246826172,291.25,96.18592834472656
2021-08-30,72.94135284423828,295.70001220703125,95.32286834716797
2021-08-31,73.04989624023438,289.7799987792969,94.85662841796875
2021-09-01,72.47750854492188,289.7900085449219,96.23553466796875
2021-09-02,72.94135284423828,291.5400085449219,95.87840270996094
2021-09-03,71.13533782958984,285.79998779296875,94.20188903808594
2021-09-07,70.48397827148438,278.8299865722656,93.0412368774414
2021-09-08,69.69446563720703,274.20001220703125,90.67032623291016
2021-09-09,69.378662109375,275.95001220703125,89.51957702636719
2021-09-10,69.56616973876953,268.5400085449219,88.87476348876953
2021-09-13,69.74381256103516,273.8399963378906,88.28948211669922
2021-09-14,67.57263946533203,272.510009765625,87.17842102050781
2021-09-15,69.09246063232422,277.7799987792969,87.9323501586914
2021-09-16,69.71420288085938,270.3999938964844,89.5791015625
2021-09-17,68.00687408447266,281.45001220703125,90.07511138916016
2021-09-20,67.03971862792969,268.7200012207031,87.3768310546875
2021-09-21,66.46731567382812,269.4599914550781,87.22802734375
2021-09-22,67.37525177001953,282.0,87.76371002197266
2021-09-23,67.99700164794922,284.1099853515625,86.62289428710938
2021-09-24,67.35552978515625,275.3599853515625,86.34512329101562
2021-09-27,69.19115447998047,280.5199890136719,86.6328125
2021-09-28,68.14505004882812,272.8299865722656,84.41068267822266
2021-09-29,68.24373626708984,261.8699951171875,85.78960418701172
2021-09-30,67.09892272949219,265.2200012207031,83.29963684082031
2021-10-01,68.22399139404297,272.1199951171875,83.08139038085938
2021-10-04,69.2602310180664,255.27000427246094,82.34729766845703
2021-10-05,70.03988647460938,258.70001220703125,82.29769897460938
2021-10-06,68.88521575927734,260.4200134277344,82.53578186035156
2021-10-07,69.61551666259766,263.6099853515625,83.61708068847656
2021-10-08,69.49708557128906,261.8699951171875,82.74411010742188
2021-10-11,68.84573364257812,276.82000732421875,82.62506866455078
2021-10-12,68.31281280517578,298.4100036621094,83.0516357421875
2021-10-13,68.7470474243164,303.7200012207031,84.15277099609375
2021-10-14,70.77017974853516,305.5299987792969,86.74193572998047
2021-10-15,71.1254653930664,299.489990234375,86.35504913330078
2021-10-18,70.90834045410156,306.0799865722656,87.72402954101562
2021-10-19,71.29322814941406,317.2200012207031,87.58514404296875
2021-10-20,72.29986572265625,307.3599853515625,88.8053207397461
2021-10-21,71.29322814941406,309.0299987792969,88.50772094726562
2021-10-22,71.1649398803711,303.25,87.88275146484375
2021-10-25,70.98729705810547,311.9200134277344,87.8629150390625
2021-10-26,70.98729705810547,313.8800048828125,87.99186706542969
2021-10-27,68.24373626708984,342.5400085449219,87.06929016113281
2021-10-28,68.84573364257812,351.5799865722656,88.64659881591797
2021-10-29,68.68783569335938,354.67999267578125,88.55731964111328
2021-11-01,70.29647064208984,360.92999267578125,89.5791015625
2021-11-02,76.47442626953125,355.1600036621094,87.79347229003906
