,Adj Close,Adj Close,Adj Close,Adj Close
,AAL,AAP,AAPL,ABBV
Date,,,,
2021-08-30,,,,
2021-08-31,19.940000534057617,201.0221710205078,151.8300018310547,118.10768127441406
2021-09-01,19.639999389648438,200.0609130859375,152.50999450683594,109.78597259521484
2021-09-02,19.760000228881836,199.00054931640625,153.64999389648438,109.54149627685547
2021-09-03,19.3700008392334,197.64288330078125,154.3000030517578,109.15036010742188
2021-09-07,19.530000686645508,198.00955200195312,156.69000244140625,106.6176528930664
2021-09-08,19.1299991607666,198.37620544433594,155.11000061035156,107.9182357788086
2021-09-09,20.200000762939453,199.4068603515625,154.07000732421875,104.89659118652344
2021-09-10,18.950000762939453,198.22756958007812,148.97000122070312,104.31965637207031
2021-09-13,19.309999465942383,197.46450805664062,149.5500030517578,105.10195922851562
2021-09-14,19.209999084472656,199.3572998046875,148.1199951171875,104.12408447265625
2021-09-15,19.3799991607666,204.35189819335938,149.02999877929688,105.38552856445312
2021-09-16,19.889999389648438,206.82151794433594,148.7899932861328,105.68867492675781
2021-09-17,19.729999542236328,204.93942260742188,146.05999755859375,105.34642028808594
2021-09-20,20.329999923706055,202.85816955566406,142.94000244140625,104.04585266113281
2021-09-21,19.760000228881836,204.80001831054688,143.42999267578125,104.77925872802734
2021-09-22,20.520000457763672,210.32681274414062,145.85000610351562,104.05562591552734
2021-09-23,20.899999618530273,213.1947479248047,146.8300018310547,104.98460388183594
2021-09-24,21.389999389648438,214.75819396972656,146.9199981689453,104.7010269165039
2021-09-27,21.469999313354492,217.54649353027344,145.3699951171875,105.3366470336914
2021-09-28,21.43000030517578,213.88186645507812,141.91000366210938,104.96504211425781
2021-09-29,21.010000228881836,215.86355590820312,142.8300018310547,106.43185424804688
2021-09-30,20.520000457763672,208.01649475097656,141.5,105.48332977294922
2021-10-01,21.649999618530273,207.13021850585938,142.64999389648438,106.67633056640625
2021-10-04,21.389999389648438,206.30369567871094,139.13999938964844,106.32429504394531
2021-10-05,21.469999313354492,208.14596557617188,141.11000061035156,107.0870361328125
2021-10-06,20.540000915527344,210.4164276123047,142.0,106.9012451171875
2021-10-07,20.170000076293945,213.60304260253906,143.2899932861328,108.41694641113281
2021-10-08,20.06999969482422,213.25450134277344,142.89999389648438,108.72008514404297
2021-10-11,20.1299991607666,211.2329864501953,142.80999755859375,107.89867401123047
2021-10-12,20.290000915527344,211.12344360351562,141.50999450683594,106.16783905029297
2021-10-13,19.610000610351562,209.44052124023438,140.91000366210938,106.12871551513672
2021-10-14,19.639999389648438,213.96153259277344,143.75999450683594,107.79147338867188
2021-10-15,19.979999542236328,214.52914428710938,144.83999633789062,108.2071533203125
2021-10-18,19.84000015258789,221.58950805664062,146.5500030517578,106.32666778564453
2021-10-19,19.530000686645508,223.20272827148438,148.75999450683594,106.3464584350586
2021-10-20,19.520000457763672,225.7122039794922,149.25999450683594,107.2966079711914
2021-10-21,19.889999389648438,232.73272705078125,149.47999572753906,107.64301300048828
2021-10-22,19.149999618530273,230.99998474121094,148.69000244140625,108.01910400390625
2021-10-25,19.229999542236328,229.16769409179688,148.63999938964844,107.38568115234375
2021-10-26,19.389999389648438,231.5875244140625,149.32000732421875,108.36550903320312
2021-10-27,19.030000686645508,229.3867645263672,148.85000610351562,107.28670501708984
2021-10-28,19.190000534057617,224.0591278076172,152.57000732421875,108.54366302490234
2021-10-29,19.200000762939453,224.57696533203125,149.8000030517578,113.4923095703125
2021-11-01,19.770000457763672,224.16867065429688,148.9600067138672,113.63087463378906
2021-11-02,19.829999923706055,225.8217315673828,150.02000427246094,115.33320617675781
2021-11-03,20.6299991607666,229.9942169189453,151.49000549316406,116.3625259399414
2021-11-04,20.6299991607666,229.1278533935547,150.9600067138672,115.8577651977539
2021-11-05,21.81999969482422,228.76934814453125,151.27999877929688,115.97653198242188
2021-11-08,22.25,226.95697021484375,150.44000244140625,114.86803436279297
2021-11-09,22.260000228881836,231.41822814941406,150.80999755859375,114.42266082763672
2021-11-10,21.56999969482422,233.7882843017578,147.9199981689453,115.55094909667969
2021-11-11,21.329999923706055,237.45289611816406,147.8699951171875,115.43218231201172
2021-11-12,20.290000915527344,238.04042053222656,149.99000549316406,115.76869201660156
