Date,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT
2021-09-02,,,,,,,
2021-09-03,19.3700008392334,194.50599670410156,153.440185546875,107.22750854492188,123.51520538330078,372.69000244140625,126.92035675048828
2021-09-07,19.530000686645508,194.86683654785156,155.81689453125,104.73942565917969,122.5972900390625,376.20001220703125,126.37897491455078
2021-09-08,19.1299991607666,195.22767639160156,154.24566650390625,106.01708221435547,122.69598388671875,374.7900085449219,127.03848266601562
2021-09-09,20.200000762939453,196.24195861816406,153.2114715576172,103.0486831665039,121.99520874023438,365.8399963378906,125.97539520263672
2021-09-10,18.950000762939453,195.08139038085938,148.13987731933594,102.4819107055664,121.21546173095703,361.20001220703125,126.78255462646484
2021-09-13,19.309999465942383,194.33042907714844,148.71665954589844,103.25042724609375,122.03469848632812,352.0,124.6366958618164
2021-09-14,19.209999084472656,196.1931915283203,147.29461669921875,102.28977966308594,121.49182891845703,353.5299987792969,125.05996704101562
2021-09-15,19.3799991607666,201.1085205078125,148.1995391845703,103.52900695800781,124.1666488647461,355.17999267578125,125.49307250976562
2021-09-16,19.889999389648438,203.5389404296875,147.96087646484375,103.82682037353516,122.61703491210938,357.8699951171875,125.44385528564453
2021-09-17,19.729999542236328,201.6867218017578,145.24609375,103.49058532714844,121.86689758300781,355.0,124.80403900146484
2021-09-20,20.329999923706055,199.63848876953125,142.1434783935547,102.21292114257812,120.3863754272461,347.3800048828125,122.91410827636719
2021-09-21,19.760000228881836,201.5495147705078,142.63075256347656,102.93341827392578,119.92247009277344,344.989990234375,123.17003631591797
2021-09-22,20.520000457763672,206.9886016845703,145.0372772216797,102.22254180908203,120.50480651855469,348.9599914550781,122.69754791259766
2021-09-23,20.899999618530273,209.81101989746094,146.01181030273438,103.13514709472656,120.9588394165039,350.6099853515625,123.33736419677734
2021-09-24,21.389999389648438,211.3496551513672,146.10130310058594,102.85655212402344,120.71208953857422,350.3599853515625,122.42193603515625
2021-09-27,21.469999313354492,214.0937042236328,144.55995178222656,103.48098754882812,121.03780364990234,338.4700012207031,118.69131469726562
2021-09-28,21.43000030517578,210.48724365234375,141.11924743652344,103.11592864990234,119.71520233154297,331.2699890136719,116.88011932373047
2021-09-29,21.010000228881836,212.43746948242188,142.0341033935547,104.5569076538086,120.90948486328125,329.510009765625,117.5888442993164
2021-09-30,20.520000457763672,204.71495056152344,140.71151733398438,103.62507629394531,117.89908599853516,325.5199890136719,116.27967834472656
2021-10-01,21.649999618530273,203.84274291992188,141.8551025390625,104.79706573486328,118.2544174194336,323.3299865722656,115.37407684326172
2021-10-04,21.389999389648438,203.02932739257812,138.36465454101562,104.45123291015625,116.79363250732422,313.8699951171875,113.72040557861328
2021-10-05,21.469999313354492,204.8423614501953,140.32369995117188,105.2005386352539,117.06999969482422,332.4700012207031,114.0649185180664
2021-10-06,20.540000915527344,207.07679748535156,141.20872497558594,105.01802062988281,115.3822021484375,337.29998779296875,114.66535949707031
2021-10-07,20.170000076293945,210.2128448486328,142.4915313720703,106.50701904296875,117.030517578125,340.29998779296875,116.06312561035156
2021-10-08,20.06999969482422,209.86981201171875,142.10369873046875,106.8048324584961,117.82013702392578,337.1300048828125,116.53560638427734
2021-10-11,20.1299991607666,207.88040161132812,142.01422119140625,105.99787139892578,120.81079864501953,332.1499938964844,115.04925537109375
2021-10-12,20.290000915527344,207.7725830078125,140.72145080566406,104.29753112792969,118.17545318603516,334.1400146484375,115.48236846923828
2021-10-13,19.610000610351562,206.1163787841797,140.1248016357422,104.25910186767578,117.29700469970703,336.04998779296875,115.16737365722656
2021-10-14,19.639999389648438,210.5656280517578,142.9589080810547,105.89256286621094,118.55052947998047,345.07000732421875,116.17528533935547
2021-10-15,19.979999542236328,211.12423706054688,144.0329132080078,106.30091857910156,118.30376434326172,351.3699951171875,116.09622192382812
2021-10-18,19.84000015258789,218.07254028320312,145.73338317871094,104.45355987548828,116.84297943115234,351.05999755859375,115.43417358398438
2021-10-19,19.530000686645508,219.66015625,147.93104553222656,104.47300720214844,118.28401947021484,349.4100036621094,117.92427825927734
2021-10-20,19.520000457763672,222.12979125976562,148.4282684326172,105.40641784667969,120.66273498535156,346.4200134277344,121.84718322753906
2021-10-21,19.889999389648438,229.03890991210938,148.6470489501953,105.74671936035156,121.11676025390625,349.67999267578125,123.5665512084961
2021-10-22,19.149999618530273,227.33364868164062,147.86146545410156,106.1161880493164,121.7188491821289,352.17999267578125,125.21673583984375
2021-10-25,19.229999542236328,225.53045654296875,147.81173706054688,105.49392700195312,121.00819396972656,354.0199890136719,125.07839965820312
2021-10-26,19.389999389648438,227.911865234375,148.48794555664062,106.45648956298828,121.36351776123047,348.29998779296875,126.61001586914062
2021-10-27,19.030000686645508,225.7460479736328,148.02056884765625,105.39669036865234,117.99778747558594,344.5799865722656,126.19498443603516
2021-10-28,19.190000534057617,220.5029754638672,151.71983337402344,106.63150787353516,119.13285827636719,343.1400146484375,126.19498443603516
2021-10-29,19.200000762939453,221.01258850097656,148.9652557373047,111.49297332763672,120.43572235107422,332.0400085449219,127.36099243164062
2021-11-01,19.770000457763672,220.6107635498047,148.12994384765625,111.62909698486328,121.21546173095703,349.989990234375,127.410400390625
2021-11-02,19.829999923706055,222.2375946044922,149.1840362548828,113.30144500732422,123.5744400024414,349.760009765625,126.19498443603516
2021-11-03,20.6299991607666,226.34385681152344,150.64584350585938,114.31262969970703,126.62430572509766,358.0199890136719,127.1732406616211
2021-11-04,20.6299991607666,225.49124145507812,150.11880493164062,113.81675720214844,125.13391876220703,363.07000732421875,127.5586166381836
